label,n,iter,sec
dgemm,8,0,0.000004000
dgemm,8,1,0.000002000
dgemm,8,2,0.000002000
dgemm,8,3,0.000002000
dgemm,8,4,0.000002000
dgemm,8,5,0.000002000
dgemm,8,6,0.000002000
dgemm,8,7,0.000002000
dgemm,8,8,0.000002000
dgemm,8,9,0.000002000
dgemm,8,10,0.000002000
dgemm,8,11,0.000002000
dgemm,8,12,0.000002000
dgemm,8,13,0.000002000
dgemm,8,14,0.000002000
dgemm,8,15,0.000002000
dgemm,8,16,0.000002000
dgemm,8,17,0.000002000
dgemm,8,18,0.000002000
dgemm,8,19,0.000002000
dgemm,16,0,0.000016000
dgemm,16,1,0.000009000
dgemm,16,2,0.000010000
dgemm,16,3,0.000010000
dgemm,16,4,0.000010000
dgemm,16,5,0.000010000
dgemm,16,6,0.000010000
dgemm,16,7,0.000009000
dgemm,16,8,0.000009000
dgemm,16,9,0.000010000
dgemm,16,10,0.000009000
dgemm,16,11,0.000010000
dgemm,16,12,0.000010000
dgemm,16,13,0.000010000
dgemm,16,14,0.000009000
dgemm,16,15,0.000009000
dgemm,16,16,0.000010000
dgemm,16,17,0.000010000
dgemm,16,18,0.000010000
dgemm,16,19,0.000010000
dgemm,32,0,0.000127000
dgemm,32,1,0.000089000
dgemm,32,2,0.000089000
dgemm,32,3,0.000088000
dgemm,32,4,0.000089000
dgemm,32,5,0.000089000
dgemm,32,6,0.000089000
dgemm,32,7,0.000089000
dgemm,32,8,0.000089000
dgemm,32,9,0.000089000
dgemm,32,10,0.000089000
dgemm,32,11,0.000088000
dgemm,32,12,0.000089000
dgemm,32,13,0.000089000
dgemm,32,14,0.000089000
dgemm,32,15,0.000089000
dgemm,32,16,0.000109000
dgemm,32,17,0.000089000
dgemm,32,18,0.000089000
dgemm,32,19,0.000089000
dgemm,64,0,0.000722000
dgemm,64,1,0.000384000
dgemm,64,2,0.000385000
dgemm,64,3,0.000384000
dgemm,64,4,0.000436000
dgemm,64,5,0.000384000
dgemm,64,6,0.000384000
dgemm,64,7,0.000384000
dgemm,64,8,0.000385000
dgemm,64,9,0.000385000
dgemm,64,10,0.000414000
dgemm,64,11,0.000385000
dgemm,64,12,0.000384000
dgemm,64,13,0.000385000
dgemm,64,14,0.000384000
dgemm,64,15,0.000384000
dgemm,64,16,0.000384000
dgemm,64,17,0.000392000
dgemm,64,18,0.000385000
dgemm,64,19,0.000385000
dgemm,128,0,0.004460000
dgemm,128,1,0.003750000
dgemm,128,2,0.003780000
dgemm,128,3,0.003767000
dgemm,128,4,0.003745000
dgemm,128,5,0.003757000
dgemm,128,6,0.003733000
dgemm,128,7,0.003739000
dgemm,128,8,0.003735000
dgemm,128,9,0.003737000
dgemm,128,10,0.003740000
dgemm,128,11,0.003734000
dgemm,128,12,0.003738000
dgemm,128,13,0.003737000
dgemm,128,14,0.003735000
dgemm,128,15,0.003731000
dgemm,128,16,0.003733000
dgemm,128,17,0.003733000
dgemm,128,18,0.003741000
dgemm,128,19,0.003734000
dgemm,256,0,0.047158000
dgemm,256,1,0.031650000
dgemm,256,2,0.031689000
dgemm,256,3,0.031846000
dgemm,256,4,0.029733000
dgemm,256,5,0.020980000
dgemm,256,6,0.020538000
dgemm,256,7,0.020672000
dgemm,256,8,0.020122000
dgemm,256,9,0.020526000
dgemm,256,10,0.019692000
dgemm,256,11,0.019896000
dgemm,256,12,0.020708000
dgemm,256,13,0.019611000
dgemm,256,14,0.019586000
dgemm,256,15,0.019543000
dgemm,256,16,0.019843000
dgemm,256,17,0.019754000
dgemm,256,18,0.019937000
dgemm,256,19,0.020317000
dgemm,512,0,0.417628000
dgemm,512,1,0.396564000
dgemm,512,2,0.390993000
dgemm,512,3,0.404210000
dgemm,512,4,0.428839000
